21687	14.4
37173	23.3
21742	13.8
28983	18.3
16404	10.7
33298	23.1
21067	16.1
22653	15.1
19328	12.9
31869	21.3
24511	15.8
18.653	12.5
14282	10.4
12240	8.5
17034	12.0
13856	9.0
19941	14.0
14561	9.6
16460	11.2
21505	13.7
19702	13.9
10620	7.7
18189	13.7
14771	10.0
13476	9.2
22609	16.7
14003	9.8
12214	8.5
10093	8.1
8150	6.0
12992	9.7
9927	7.0
12552	9.0
11045	8.7
11669	8.2
14656	10.1
1838	1.3
13362	9.4
18739	13.6
21095	15.7
11689	8.4
15881	12.0
23568	16.8
16627	11.4
10004	6.5
10299	8.4
22578	16.7
16244	11.6
14501	11.0
11600	8.8
11567	8.2
10846	7.8
17353	12.9
27069	19.4
22501	15.7
4455	3.5
14982	10.7
287	0.18
11045	8.2
15873	11.3
21657	15.6
15288	10.9
26992	19.5
16380	12.8
16939	11.9
17196	11.8
15910	12.1
16226	11.9
13565	9.5
27691	18.7
8320	6.4
47393	34.2
12858	9.3
18608	13.5
19643	14.0
20275	15.6
42190	29.7
37014	25.2
16181	12.0
12524	9.6
8756	6.2
17028	12.1
18456	14.0
24821	18.3
17300	11.3
25371	16.9
18238	12.9
12578	9.2
13699	9.3
11550	8.2
20237	13.9
25462	17.0
14700	8.9
58	0.04
12460	8.5
12664	9.3
8155	6.3
8811	6.3
14184	10.0
3796	2.8
22390	16.3
2829	2.1
11592	8.7
8463	6.4
14902	10.9
9101	6.0
51891	36.9
3868	3.0
9098	6.5
16332	12.0
13442	9.4
14660	10.4
8604	5.9
1797	1.2
3126	2.3
3412	2.5
18550	13.4
15224	11.5
5998	4.4
13108	9.1
12722	9.1
7996	6.0
19527	14.4
15000	11.1
12406	8.7
13657	10.4
11010	8.0
20461	16.0
19116	14.5
22793	17.4
43522	30.1
11412	8.2
18346	13.6
9112	6.7
11738	8.5
15635	10.6
18686	12.9
14759	11.4
18050	12.4
14066	10.0
11954	8.4
22901	17.5
14792	10.0
6878	5.3
14622	10.2
48	0.03
7922	5.5
12232	9.3
19034	14.0
10360	7.4
16102	11.0
33334	22.5
25778	17.4
20108	14.9
17981	12.8
11331	8.4
10431	7.3
17946	12.7
26561	19.0
10897	7.7
13860	10.1
13391	9.9
13272	9.8
9098	7.1
10800	7.5
6286	4.2
15157	11.2
13850	9.8
11607	7.8
21030	13.9
14580	10.4
6310	4.4
7053	4.8
15145	11.1
17672	13.5
13396	9.6
15270	11.0
11355	8.3
19255	14.4
17500	12.5
218	0.13
5499	4.0
8697	6.0
8545	6.0
8451	6.1
18084	13.6
8808	6.7
15619	11.2
11207	7.6
11882	8.3
16004	11.0
20666	14.4
11964	8.8
37039	25.9
14102	9.6
17776	12.6
15898	11.6
13205	9.6
17414	12.4
12502	9.1
9501	7.0
10630	8.1
6367	4.8
43503	32.2
28407	20.6
24783	17.8
31279	23.1
25096	18.3
4080	2.6
8737	6.0
11696	9.1
11817	8.9
6096	4.6
5714	4.4
13496	9.8
4930	3.7
19507	13.6
4513	3.2
8598	6.2
10027	7.2
33288	23.3
33587	24.4
13249	10.2
8392	5.5
10014	7.4
9056	6.6
7055	5.0
13791	9.9
5322	4.1
6088	4.7
8817	6.3
14043	10.2
9143	6.8
5476	4.1
5024	3.6
6253	4.7
